驴鞍	luan,la
驴车	luche,lc
驴床	luchuang,lc
驴唇不对马嘴	luchunbuduimazui,lcbdmz
驴唇马觜	luchunmazi,lcmz
驴唇马嘴	luchunmazui,lcmz
驴打滚	ludagun,ldg
驴夫	lufu,lf
驴肝肺	luganfei,lgf
驴筋头	lujintou,ljt
驴驹拔撅	lujubajue,ljbj
驴驹媚	lujumei,ljm
驴驹子	lujuzi,ljz
驴鞠	luju,lj
驴脸	lulian,ll
驴脸答挂	luliandagua,lldg
驴脸瓜搭	lulianguada,llgd
驴骡	luluo,ll
驴马畜	lumachu,lmc
驴马头	lumatou,lmt
驴马债	lumazhai,lmz
驴媚	lumei,lm
驴鸣狗吠	luminggoufei,lmgf
驴鸣犬吠	lumingquanfei,lmqf
驴鸣一声	lumingyisheng,lmys
驴年	lunian,ln
驴年马月	lunianmayue,lnmy
驴辇	lunian,ln
驴鸟	luniao,ln
驴皮胶	lupijiao,lpj
驴皮影	lupiying,lpy
驴前马后	luqianmahou,lqmh
驴券	luquan,lq
驴生机角瓮生根	lushengjijiaowenggen,lsjjwg
驴生笄角瓮生根	lushengjijiaowenggen,lsjjwg
驴生戟角瓮生根	lushengjijiaowenggen,lsjjwg
驴鼠	lushu,ls
驴头	lutou,lt
驴头不对马嘴	lutoubuduimazui,ltbdmz
驴颓	lutui,lt
驴王	luwang,lw
驴屋	luwu,lw
驴心狗肺	luxingoufei,lxgf
驴性子	luxingzi,lxz
驴熊	luxiong,lx
驴友	luyou,ly
驴子	luzi,lz
