双百方针	shuangbaifangzhen,sbfz
双柏	shuangbai,sb
双柏县	shuangbaixian,sbx
双摆	shuangbai,sb
双斑绿柳莺	huangbanluliuying,hblly
双伴儿	shuangbaner,sbe
双胞胎	shuangbaotai,sbt
双北	shuangbei,sb
双倍	shuangbei,sb
双倍体	shuangbeiti,sbt
双比	shuangbi,sb
双笔	shuangbi,sb
双臂	shuangbi,sb
双臂抱胸	shuangbibaoxiong,sbbx
双璧	shuangbi,sb
双边	shuangbian,sb
双边贸易	shuangbianmaoyi,sbmy
双边钱	shuangbianqian,sbq
双辫八色鸫	shuangbianbasedong,sbbsd
双标	shuangbiao,sb
双表	shuangbiao,sb
双宾语	shuangbinyu,sby
双侧	shuangce,sc
双层	shuangceng,sc
双层巴士	shuangcengbashi,scbs
双层床	shuangcengchuang,scc
双层公共汽车	shuangcenggongqiche,scgqc
双缠	shuangchan,sc
双成	shuangcheng,sc
双城	shuangcheng,sc
双城记	shuangchengji,scj
双城市	shuangchengshi,scs
双城子	shuangchengzi,scz
双程	shuangcheng,sc
双秤	shuangcheng,sc
双翅目	shuangchimu,scm
双抽	shuangchou,sc
双床房	shuangchuangfang,scf
双唇音	shuangchunyin,scy
双打	shuangda,sd
双旦	shuangdan,sd
双档	shuangdang,sd
双刀	shuangdao,sd
双调	shuangdiao,sd
双丁	shuangding,sd
双独	shuangdu,sd
双独夫妇	shuangdufu,sdf
双鹅	shuange,se
双蛾	shuange,se
双方	shuangfang,sf
双方同意	shuangfangtongyi,sfty
双飞	shuangfei,sf
双飞燕	shuangfeiyan,sfy
双飞鷰	shuangfeiyan,sfy
双飞翼	shuangfeiyi,sfy
双非	shuangfei,sf
双峰	shuangfeng,sf
双峰驼	shuangfengtuo,sft
双峰县	shuangfengxian,sfx
双峰镇	shuangfengzhen,sfz
双凤	shuangfeng,sf
双俸	shuangfeng,sf
双趺	shuangfu,sf
双凫	shuangfu,sf
双凫一雁	shuangfuyiyan,sfyy
双符	shuangfu,sf
