搜拔	souba,sb
搜补	soubu,sb
搜捕	soubu,sb
搜猜	soucai,sc
搜才	soucai,sc
搜采	soucai,sc
搜查	soucha,sc
搜查令	souchaling,scl
搜肠	souchang,sc
搜肠刮肚	souchangguadu,scgd
搜肠润吻	souchangrunwen,scrw
搜乘	soucheng,sc
搜斥	souchi,sc
搜访	soufang,sf
搜伏	soufu,sf
搜根剔齿	sougentichi,sgtc
搜狗	sougou,sg
搜刮	sougua,sg
搜狐	souhu,sh
搜狐网	souhuwang,shw
搜获	souhuo,sh
搜缉	souji,sj
搜集	souji,sj
搜辑	souji,sj
搜检	soujian,sj
搜简	soujian,sj
搜搅	soujiao,sj
搜剿	soujiao,sj
搜缴	soujiao,sj
搜劫	soujie,sj
搜救	soujiu,sj
搜救犬	soujiuquan,sjq
搜句	souju,sj
搜撅	soujue,sj
搜刔	soujue,sj
搜抉	soujue,sj
搜枯	souku,sk
搜括	soukuo,sk
搜揽	soulan,sl
搜牢	soulao,sl
搜练	soulian,sl
搜寥	souliao,sl
搜猎	soulie,sl
搜掠	soulue,sl
搜罗	souluo,sl
搜逻	souluo,sl
搜觅	soumi,sm
搜苗	soumiao,sm
搜拏	souna,sn
搜拿	souna,sn
搜裒	soupou,sp
搜奇	souqi,sq
搜奇抉怪	souqijueguai,sqjg
搜求	souqiu,sq
搜搔	sousao,ss
搜山	soushan,ss
搜身	soushen,ss
搜神后记	soushenhouji,sshj
搜神记	soushenji,ssj
搜狩	soushou,ss
搜疏	soushu,ss
搜漱	soushu,ss
搜刷	soushua,ss
搜搜	sou,s
搜索	sousuo,ss
搜索队	sousuodui,ssd
搜索枯肠	sousuokuchang,sskc
搜索票	sousuopiao,ssp
搜索肾胃	sousuoshenwei,sssw
搜索树	sousuoshu,sss
搜索引擎	sousuoyinqing,ssyq
搜讨	soutao,st
搜慝	soute,st
搜剔	souti,st
搜擿	souti,st
搜逷	souti,st
搜田	soutian,st
搜畋	soutian,st
搜贤	souxian,sx
搜狝	souxian,sx
搜选	souxuan,sx
搜寻	souxun,sx
搜寻软体	souxunruanti,sxrt
搜寻引擎	souxunyinqing,sxyq
搜岩采干	souyancaigan,sycg
搜扬	souyang,sy
搜扬侧陋	souyangcelou,sycl
搜敭	souyang,sy
搜腰包	souyaobao,syb
搜遗	souyi,sy
搜吟	souyin,sy
搜阅	souyue,sy
搜择	souze,sz
搜摘	souzhai,sz
搜章擿句	souzhangtiju,sztj
搜章摘句	souzhangzhaiju,szzj
搜整	souzheng,sz
搜证	souzheng,sz
