餐布	canbu,cb
餐柴	canchai,cc
餐车	canche,cc
餐啖	candan,cd
餐刀	candao,cd
餐点	candian,cd
餐饵	caner,ce
餐饭	canfan,cf
餐风	canfeng,cf
餐风露宿	canfenglusu,cfls
餐风沐雨	canfengmuyu,cfmy
餐风啮雪	canfengniexue,cfnx
餐风茹雪	canfengruxue,cfrx
餐风宿草	canfengsucao,cfsc
餐风宿露	canfengsulu,cfsl
餐风宿水	canfengsushui,cfss
餐风宿雨	canfengsuyu,cfsy
餐风咽露	canfengyanlu,cfyl
餐风饮露	canfengyinlu,cfyl
餐服	canfu,cf
餐馆	canguan,cg
餐和	canhe,ch
餐后酒	canhoujiu,chj
餐会	canhui,ch
餐痂	canjia,cj
餐巾	canjin,cj
餐巾纸	canjinzhi,cjz
餐具	canju,cj
餐嚼	canjiao,cj
餐末甜酒	canmotianjiu,cmtj
餐葩饮露	canpayinlu,cpyl
餐牌	canpai,cp
餐前酒	canqianjiu,cqj
餐钱	canqian,cq
餐券	canquan,cq
餐胜	cansheng,cs
餐食	canshi,cs
餐事	canshi,cs
餐室	canshi,cs
餐松啖柏	cansongdanbo,csdb
餐松饮涧	cansongyinjian,csyj
餐厅	canting,ct
餐薇	canwei,cw
餐卫	canwei,cw
餐位	canwei,cw
餐霞	canxia,cx
餐霞客	canxiake,cxk
餐霞人	canxiaren,cxr
餐霞漱瀣	canxiashuxie,cxsx
餐霞吸露	canxiaxilu,cxxl
餐霞饮景	canxiayinjing,cxyj
餐霞饮瀣	canxiayinxie,cxyx
餐霞饮液	canxiayinye,cxyy
餐霞子	canxiazi,cxz
餐腥啄腐	canxingzhuofu,cxzf
餐宴	canyan,cy
餐仰	canyang,cy
餐苡	canyi,cy
餐挹	canyi,cy
餐饮	canyin,cy
餐饮店	canyindian,cyd
餐饮业	canyinye,cyy
餐英	canying,cy
餐鱼	canyu,cy
餐玉	canyu,cy
餐云卧石	canyunwoshi,cyws
餐毡	canzhan,cz
餐毡使	canzhanshi,czs
餐毡苏	canzhansu,czs
餐芝	canzhi,cz
餐桌	canzhuo,cz
餐桌盐	canzhuoyan,czy
餐桌转盘	canzhuozhuanpan,czzp
餐啄	canzhuo,cz
