纹背捕蛛鸟	wenbeibuzhuniao,wbbzn
纹层	wenceng,wc
纹刺	wenci,wc
纹风不动	wenfengbudong,wfbd
纹喉鹎	wenhoubei,whb
纹喉凤鹛	wenhoufengmei,whfm
纹縠	wenhu,wh
纹浪	wenlang,wl
纹理	wenli,wl
纹路	wenlu,wl
纹缕	wenlu,wl
纹缕儿	wenluer,wle
纹面	wenmian,wm
纹木	wenmu,wm
纹枰	wenping,wp
纹禽	wenqin,wq
纹楸	wenqiu,wq
纹身	wenshen,ws
纹饰	wenshi,ws
纹丝	wensi,ws
纹丝不动	wensibudong,wsbd
纹丝儿	wensier,wse
纹丝没动	wensimeidong,wsmd
纹头斑翅鹛	wentoubanchimei,wtbcm
纹胸斑翅鹛	wenxiongbanchimei,wxbcm
纹胸鹪鹛	wenxiongjiaomei,wxjm
纹胸鹛	wenxiongmei,wxm
纹胸织雀	wenxiongzhique,wxzq
纹胸啄木鸟	wenxiongzhuomuniao,wxzmn
纹样	wenyang,wy
纹银	wenyin,wy
纹章	wenzhang,wz
