手八叉	shoubacha,sbc
手把	shouba,sb
手把手	shouba,sb
手把手地	shoubade,sbd
手把子	shoubazi,sbz
手拜	shoubai,sb
手扳葫芦	shoubanhulu,sbhl
手板	shouban,sb
手板葫芦	shoubanhulu,sbhl
手板支颐	shoubanzhiyi,sbzy
手版	shouban,sb
手版倒持	shoubandaochi,sbdc
手办	shouban,sb
手榜	shoubang,sb
手牓	shoubang,sb
手膀子	shoubangzi,sbz
手包	shoubao,sb
手背	shoubei,sb
手本	shouben,sb
手笔	shoubi,sb
手毕	shoubi,sb
手臂	shoubi,sb
手边	shoubian,sb
手表	shoubiao,sb
手柄	shoubing,sb
手禀	shoubing,sb
手脖子	shoubozi,sbz
手搏	shoubo,sb
手不干净	shoubuganjing,sbgj
手不时地	shoubushide,sbsd
手不释卷	shoubushijuan,sbsj
手不释书	shoubushishu,sbss
手不停毫	shoubutinghao,sbth
手不停挥	shoubutinghui,sbth
手不应心	shoubuyingxin,sbyx
手簿	shoubu,sb
手残	shoucan,sc
手册	shouce,sc
手策	shouce,sc
手抄	shouchao,sc
手抄本	shouchaoben,scb
手钞	shouchao,sc
手车	shouche,sc
手掣	shouche,sc
手持	shouchi,sc
手勅	shouchi,sc
手勑	shoulai,sl
手敕	shouchi,sc
手杻	shouniu,sn
手串	shouchuan,sc
手钏	shouchuan,sc
手创	shouchuang,sc
手剙	shouchuang,sc
手锤	shouchui,sc
手戳	shouchuo,sc
手刺	shouci,sc
手搭凉棚	shoudaliangpeng,sdlp
手剳	shouda,sd
手大	shouda,sd
手袋	shoudai,sd
手刀	shoudao,sd
手嶌葵	shoudaokui,sdk
手到病除	shoudaobingchu,sdbc
手到拿来	shoudaonalai,sdnl
手到拈来	shoudaonianlai,sdnl
手到擒来	shoudaoqinlai,sdql
手倒立	shoudaoli,sdl
手底下	shoudixia,sdx
手电	shoudian,sd
手电灯	shoudiandeng,sdd
手电筒	shoudiantong,sdt
手订	shouding,sd
手定	shouding,sd
手动	shoudong,sd
手动变速器	shoudongbiansuqi,sdbsq
手动挡	shoudongdang,sdd
手动地	shoudongde,sdd
手段	shouduan,sd
手额	shoue,se
手法	shoufa,sf
手分	shoufen,sf
手风	shoufeng,sf
手风琴	shoufengqin,sfq
手缝	shoufeng,sf
手斧	shoufu,sf
手感	shougan,sg
手高	shougao,sg
手高手低	shougaodi,sgd
手高眼低	shougaoyandi,sgyd
手稿	shougao,sg
手镐	shouhao,sh
手藳	shougao,sg
手格	shouge,sg
手工	shougong,sg
手工台	shougongtai,sgt
手工业	shougongye,sgy
手工艺	shougongyi,sgy
手功	shougong,sg
手钩	shougou,sg
手鼓	shougu,sg
手鼓舞	shouguwu,sgw
手梏	shougu,sg
手拐	shouguai,sg
手管	shouguan,sg
手函	shouhan,sh
手翰	shouhan,sh
手毫	shouhao,sh
手号	shouhao,sh
手号军	shouhaojun,shj
手黑	shouhei,sh
手痕	shouhen,sh
手痕碑	shouhenbei,shb
手滑	shouhua,sh
手环	shouhuan,sh
手慌脚乱	shouhuangjiaoluan,shjl
手挥目送	shouhuimusong,shms
手诲	shouhui,sh
手活	shouhuo,sh
手货	shouhuo,sh
手击子	shoujizi,sjz
手机	shouji,sj
手机关	shoujiguan,sjg
手急眼快	shoujiyankuai,sjyk
手疾眼快	shoujiyankuai,sjyk
手集	shouji,sj
手戟	shouji,sj
手记	shouji,sj
手伎	shouji,sj
手技	shouji,sj
手迹	shouji,sj
手夹	shoujia,sj
手柬	shoujian,sj
手简	shoujian,sj
手剑	shoujian,sj
手贱	shoujian,sj
手键	shoujian,sj
手将	shoujiang,sj
手交	shoujiao,sj
手脚	shoujiao,sj
手脚不干净	shoujiaobuganjing,sjbgj
手脚干净	shoujiaoganjing,sjgj
手脚零碎	shoujiaolingsui,sjls
手脚无措	shoujiaowucuo,sjwc
手教	shoujiao,sj
手巾	shoujin,sj
手巾把	shoujinba,sjb
手筋	shoujin,sj
手紧	shoujin,sj
手劲儿	shoujiner,sje
手颈	shoujing,sj
手举	shouju,sj
手锯	shouju,sj
手卷	shoujuan,sj
手绢	shoujuan,sj
手诀	shoujue,sj
手拷	shoukao,sk
手铐	shoukao,sk
手控	shoukong,sk
手口之泽	shoukouzhize,skzz
手快	shoukuai,sk
手拉车	shoulache,slc
手拉葫芦	shoulahulu,slhl
手拉手	shoula,sl
手拉手地	shoulade,sld
手辣	shoula,sl
手泐	shoule,sl
手雷	shoulei,sl
手里	shouli,sl
手里剑	shoulijian,slj
手理	shouli,sl
手力	shouli,sl
手力钱	shouliqian,slq
手力资	shoulizi,slz
手历	shouli,sl
手链	shoulian,sl
手灵	shouling,sl
手零脚碎	shoulingjiaosui,sljs
手令	shouling,sl
手榴弹	shouliudan,sld
手镏	shouliu,sl
手笼	shoulong,sl
手炉	shoulu,sl
手録	shoulu,sl
手轮	shoulun,sl
手慢	shouman,sm
手镘	shouman,sm
手忙脚乱	shoumangjiaoluan,smjl
手袂	shoumei,sm
手面	shoumian,sm
手民	shoumin,sm
手命	shouming,sm
手摹	shoumo,sm
手模	shoumo,sm
手墨	shoumo,sm
手拿包	shounabao,snb
手挠	shounao,sn
手扭	shouniu,sn
手帕	shoupa,sp
手帕姊妹	shoupazimei,spzm
手排	shoupai,sp
手牌	shoupai,sp
手炮	shoupao,sp
手批	shoupi,sp
手胼足胝	shoupianzuzhi,spzz
手平	shouping,sp
手旗	shouqi,sq
手启	shouqi,sq
手气	shouqi,sq
手牵手	shouqian,sq
手欠	shouqian,sq
手枪	shouqiang,sq
手巧	shouqiao,sq
手亲眼便	shouqinyanbian,sqyb
手勤	shouqin,sq
手轻	shouqing,sq
手磬子	shouqingzi,sqz
手球	shouqiu,sq
手刃	shouren,sr
手软	shouruan,sr
手刹车	shoushache,ssc
手扇	shoushan,ss
手上	shoushang,ss
手梢	shoushao,ss
手稍	shoushao,ss
手生	shousheng,ss
手实	shoushi,ss
手实法	shoushifa,ssf
手示	shoushi,ss
手式	shoushi,ss
手势	shoushi,ss
手势令	shoushiling,ssl
手势语	shoushiyu,ssy
手饰	shoushi,ss
手书	shoushu,ss
手疏	shoushu,ss
手熟	shoushu,ss
手术	shoushu,ss
手术刀	shoushudao,ssd
手术室	shoushushi,sss
手术台	shoushutai,sst
手松	shousong,ss
手谈	shoutan,st
手套	shoutao,st
手套箱	shoutaoxiang,stx
手提	shouti,st
手提包	shoutibao,stb
手提电脑	shoutidiannao,stdn
手提机关	shoutijiguan,stjg
手提式	shoutishi,sts
手提箱	shoutixiang,stx
手题	shouti,st
手条	shoutiao,st
手条子	shoutiaozi,stz
手帖	shoutie,st
手头	shoutou,st
手头不便	shoutoububian,stbb
手头紧	shoutoujin,stj
手头现金	shoutouxianjin,stxj
手头字	shoutouzi,stz
手推车	shoutuiche,stc
手挽手地	shouwande,swd
手腕	shouwan,sw
手腕式	shouwanshi,sws
手腕子	shouwanzi,swz
手尾	shouwei,sw
手文	shouwen,sw
手纹	shouwen,sw
手挝	shouwo,sw
手无寸刃	shouwucunren,swcr
手无寸铁	shouwucuntie,swct
手无缚鸡之力	shouwufujizhili,swfjzl
手舞足蹈	shouwuzudao,swzd
手洗	shouxi,sx
手戏	shouxi,sx
手下	shouxia,sx
手下败将	shouxiabaijiang,sxbj
手下留情	shouxialiuqing,sxlq
手下人	shouxiaren,sxr
手线	shouxian,sx
手相	shouxiang,sx
手携手	shouxie,sx
手写	shouxie,sx
手写识别	shouxieshibie,sxsb
手写体	shouxieti,sxt
手械	shouxie,sx
手心	shouxin,sx
手心手背都是肉	shouxinbeidoushirou,sxbdsr
手行	shouxing,sx
手性	shouxing,sx
手续	shouxu,sx
手续费	shouxufei,sxf
手癣	shouxuan,sx
手讯	shouxun,sx
手眼	shouyan,sy
手眼通天	shouyantongtian,sytt
手眼协调	shouyanxietiao,syxt
手痒	shouyang,sy
手摇	shouyao,sy
手摇柄	shouyaobing,syb
手摇车	shouyaoche,syc
手摇风琴	shouyaofengqin,syfq
手摇饮料	shouyaoyinliao,syyl
手艺	shouyi,sy
手艺人	shouyiren,syr
手淫	shouyin,sy
手印	shouyin,sy
手影	shouying,sy
手影戏	shouyingxi,syx
手硬	shouying,sy
手用	shouyong,sy
手游	shouyou,sy
手语	shouyu,sy
手谕	shouyu,sy
手泽	shouze,sz
手泽之遗	shouzezhiyi,szzy
手扎	shouzha,sz
手札	shouzha,sz
手闸	shouzha,sz
手战	shouzhan,sz
手长	shouchang,sc
手掌	shouzhang,sz
手掌心	shouzhangxin,szx
手帐	shouzhang,sz
手杖	shouzhang,sz
手爪	shouzhao,sz
手爪子	shouzhuazi,szz
手诏	shouzhao,sz
手照	shouzhao,sz
手罩	shouzhao,sz
手折	shoushe,ss
手植	shouzhi,sz
手纸	shouzhi,sz
手指	shouzhi,sz
手指头	shouzhitou,szt
手指头肚儿	shouzhitouduer,sztde
手指字母	shouzhizimu,szzm
手制	shouzhi,sz
手重	shouzhong,sz
手轴	shouzhou,sz
手肘	shouzhou,sz
手烛	shouzhu,sz
手抓饭	shouzhuafan,szf
手抓羊肉	shouzhuayangrou,szyr
手状	shouzhuang,sz
手镯	shouzhuo,sz
手字	shouzi,sz
手自一体	shouziyiti,szyt
手奏	shouzou,sz
手足	shouzu,sz
手足口病	shouzukoubing,szkb
手足口症	shouzukouzheng,szkz
手足胼胝	shouzupianzhi,szpz
手足亲情	shouzuqinqing,szqq
手足失措	shouzushicuo,szsc
手足无措	shouzuwucuo,szwc
手足异处	shouzuyichu,szyc
手足之情	shouzuzhiqing,szzq
手足重茧	shouzuchongjian,szcj
手钻	shouzuan,sz
手作	shouzuo,sz
