滚边	gunbian,gb
滚彩蛋	guncaidan,gcd
滚床单	gunchuangdan,gcd
滚蛋	gundan,gd
滚刀块	gundaokuai,gdk
滚刀肉	gundaorou,gdr
滚动	gundong,gd
滚动地	gundongde,gdd
滚动式	gundongshi,gds
滚动条	gundongtiao,gdt
滚动轴承	gundongzhoucheng,gdzc
滚犊子	gunduzi,gdz
滚翻	gunfan,gf
滚沸	gunfei,gf
滚瓜烂熟	gungualanshu,ggls
滚瓜溜圆	gungualiuyuan,ggly
滚瓜流水	gungualiushui,ggls
滚滚	gun,g
滚开	gunkai,gk
滚雷	gunlei,gl
滚轮	gunlun,gl
滚落	gunluo,gl
滚木	gunmu,gm
滚球	gunqiu,gq
滚热	gunre,gr
滚石	gunshi,gs
滚水	gunshui,gs
滚烫	guntang,gt
滚烫地	guntangde,gtd
滚梯	gunti,gt
滚筒	guntong,gt
滚筒刷	guntongshua,gts
滚雪球	gunxueqiu,gxq
滚油煎心	gunyoujianxin,gyjx
滚圆	gunyuan,gy
滚轴	gunzhou,gz
滚珠	gunzhu,gz
滚珠轴承	gunzhuzhoucheng,gzzc
滚柱轴承	gunzhuzhoucheng,gzzc
滚子	gunzi,gz
滚子轴承	gunzizhoucheng,gzzc
滚奏	gunzou,gz
