庭辩	tingbian,tb
庭参	tingcan,tc
庭除	tingchu,tc
庭皋	tinggao,tg
庭臯	tinggao,tg
庭诰	tinggao,tg
庭閤	tingge,tg
庭户	tinghu,th
庭会	tinghui,th
庭坚	tingjian,tj
庭角	tingjiao,tj
庭阶	tingjie,tj
庭炬	tingju,tj
庭决	tingjue,tj
庭柯	tingke,tk
庭壸	tingkun,tk
庭燎	tingliao,tl
庭旅	tinglu,tl
庭论	tinglun,tl
庭落	tingluo,tl
庭庙	tingmiao,tm
庭圃	tingpu,tp
庭砌	tingqi,tq
庭趋	tingqu,tq
庭阙	tingque,tq
庭审	tingshen,ts
庭实	tingshi,ts
庭氏	tingshi,ts
庭兽	tingshou,ts
庭唐	tingtang,tt
庭堂	tingtang,tt
庭外	tingwai,tw
庭万	tingwan,tw
庭帏	tingwei,tw
庭闱	tingwei,tw
庭问	tingwen,tw
庭芜	tingwu,tw
庭午	tingwu,tw
庭庑	tingwu,tw
庭轩	tingxuan,tx
庭训	tingxun,tx
庭谒	tingye,ty
庭议	tingyi,ty
庭右	tingyou,ty
庭宇	tingyu,ty
庭玉	tingyu,ty
庭阈	tingyu,ty
庭园	tingyuan,ty
庭院	tingyuan,ty
庭长	tingzhang,tz
庭障	tingzhang,tz
庭争	tingzheng,tz
