狮城	shicheng,sc
狮虫	shichong,sc
狮带	shidai,sd
狮儿	shier,se
狮负	shifu,sf
狮吼	shihou,sh
狮吼堂	shihoutang,sht
狮虎当道	shihudangdao,shdd
狮虎兽	shihushou,shs
狮蛮	shiman,sm
狮蛮宝带	shimanbaodai,smbd
狮猫	shimao,sm
狮泉河	shiquanhe,sqh
狮泉河镇	shiquanhezhen,sqhz
狮身人面像	shishenrenmianxiang,ssrmx
狮潭	shitan,st
狮潭乡	shitanxiang,stx
狮头鹅	shitoue,ste
狮头石竹	shitouzhu,stz
狮威	shiwei,sw
狮尾狒	shiweifei,swf
狮舞	shiwu,sw
狮弦	shixian,sx
狮象搏兔	shixiangbotu,sxbt
狮心王理查	shixinwanglicha,sxwlc
狮子	shizi,sz
狮子鼻	shizibi,szb
狮子搏兔	shizibotu,szbt
狮子补	shizibu,szb
狮子床	shizichuang,szc
狮子骢	shizicong,szc
狮子大开口	shizidakaikou,szdkk
狮子灯	shizideng,szd
狮子狗	shizigou,szg
狮子滚绣毬	shizigunxiuqiu,szgxq
狮子滚绣球	shizigunxiuqiu,szgxq
狮子吼	shizihou,szh
狮子壶	shizihu,szh
狮子花	shizihua,szh
狮子会	shizihui,szh
狮子林	shizilin,szl
狮子林园	shizilinyuan,szly
狮子山	shizishan,szs
狮子山区	shizishanqu,szsq
狮子身中虫	shizishenzhongchong,szszc
狮子术	shizishu,szs
狮子头	shizitou,szt
狮子舞	shiziwu,szw
狮子乡	shizixiang,szx
狮子座	shizizuo,szz
