颛兵	zhuanbing,zb
颛宠	zhuanchong,zc
颛醇	zhuanchun,zc
颛辞	zhuanci,zc
颛帝历	zhuandili,zdl
颛笃	zhuandu,zd
颛断	zhuanduan,zd
颛对	zhuandui,zd
颛房	zhuanfang,zf
颛固	zhuangu,zg
颛国	zhuanguo,zg
颛很	zhuanhen,zh
颛己	zhuanji,zj
颛家	zhuanjia,zj
颛决	zhuanjue,zj
颛君	zhuanjun,zj
颛阃	zhuankun,zk
颛利	zhuanli,zl
颛美	zhuanmei,zm
颛门	zhuanmen,zm
颛甿	zhuanmeng,zm
颛蒙	zhuanmeng,zm
颛面	zhuanmian,zm
颛名	zhuanming,zm
颛命	zhuanming,zm
颛寝	zhuanqin,zq
颛权	zhuanquan,zq
颛擅	zhuanshan,zs
颛事	zhuanshi,zs
颛孙	zhuansun,zs
颛童	zhuantong,zt
颛顼	zhuanxu,zx
颛顼历	zhuanxuli,zxl
颛顼术	zhuanxushu,zxs
颛顼之虚	zhuanxuzhi,zxz
颛学	zhuanxue,zx
颛意	zhuanyi,zy
颛庸	zhuanyong,zy
颛臾	zhuanyu,zy
颛愚	zhuanyu,zy
颛征	zhuanzheng,zz
颛政	zhuanzheng,zz
颛制	zhuanzhi,zz
颛颛	zhuan,z
颛恣	zhuanzi,zz
