讬爱	tuoai,ta
讬芘	tuopi,tp
讬笔	tuobi,tb
讬庇	tuobi,tb
讬避	tuobi,tb
讬便	tuobian,tb
讬褾	tuobiao,tb
讬病	tuobing,tb
讬钵	tuobo,tb
讬财	tuocai,tc
讬产	tuochan,tc
讬称	tuocheng,tc
讬承	tuocheng,tc
讬乘	tuocheng,tc
讬乘后车	tuochenghouche,tchc
讬宠	tuochong,tc
讬处	tuochu,tc
讬传	tuochuan,tc
讬词	tuoci,tc
讬辞	tuoci,tc
讬大	tuoda,td
讬地	tuodi,td
讬铎	tuoduo,td
讬法	tuofa,tf
讬肺腑	tuofeifu,tff
讬肺附	tuofeifu,tff
讬分	tuofen,tf
讬坟	tuofen,tf
讬风	tuofeng,tf
讬讽	tuofeng,tf
讬凤攀龙	tuofengpanlong,tfpl
讬伏	tuofu,tf
讬福	tuofu,tf
讬付	tuofu,tf
讬附	tuofu,tf
讬咐	tuofu,tf
讬根	tuogen,tg
讬公报私	tuogongbaosi,tgbs
讬公行私	tuogongxingsi,tgxs
讬躬	tuogong,tg
讬孤	tuogu,tg
讬孤寄命	xinggujiming,xgjm
讬故	tuogu,tg
讬国	tuoguo,tg
讬翰	tuohan,th
讬好	tuohao,th
讬号	tuohao,th
讬后	tuohou,th
讬化	tuohua,th
讬怀	tuohuai,th
讬疾	tuoji,tj
讬迹	tuoji,tj
讬寄	tuoji,tj
讬骥	tuoji,tj
讬骥之蝇	tuojizhiying,tjzy
讬家	tuojia,tj
讬交	tuojiao,tj
讬戒	tuojie,tj
讬景	tuojing,tj
讬咎	tuojiu,tj
讬居	tuoju,tj
讬口	tuokou,tk
讬赖	tuolai,tl
讬理	tuoli,tl
讬丽	tuoli,tl
讬灵	tuoling,tl
讬虑	tuolu,tl
讬逻	tuoluo,tl
讬贸	tuomao,tm
讬寐	tuomei,tm
讬蒙	tuomeng,tm
讬梦	tuomeng,tm
讬名	tuoming,tm
讬命	tuoming,tm
讬慕	tuomu,tm
讬配	tuopei,tp
讬契	tuoqi,tq
讬巧	tuoqiao,tq
讬情	tuoqing,tq
讬躯	tuoqu,tq
讬人	tuoren,tr
讬任	tuoren,tr
讬色	tuose,ts
讬赏	tuoshang,ts
讬舍	tuoshe,ts
讬身	tuoshen,ts
讬神	tuoshen,ts
讬生	tuosheng,ts
讬实	tuoshi,ts
讬食	tuoshi,ts
讬始	tuoshi,ts
讬世	tuoshi,ts
讬事	tuoshi,ts
讬势	tuoshi,ts
讬书	tuoshu,ts
讬熟	tuoshu,ts
讬说	tuoshuo,ts
讬思	tuosi,ts
讬死	tuosi,ts
讬宿	tuosu,ts
讬胎	tuotai,tt
讬逃	tuotao,tt
讬体	tuoti,tt
讬天	tuotian,tt
讬陀	tuo,t
讬伪	tuowei,tw
讬物	tuowu,tw
讬物陈喻	tuowuchenyu,twcy
讬物感怀	tuowuganhuai,twgh
讬物连类	tuowulianlei,twll
讬物引类	tuowuyinlei,twyl
讬物寓感	tuowuyugan,twyg
讬物寓兴	tuowuyuxing,twyx
讬息	tuoxi,tx
讬想	tuoxiang,tx
讬心	tuoxin,tx
讬信	tuoxin,tx
讬形	tuoxing,tx
讬兴	tuoxing,tx
讬性	tuoxing,tx
讬言	tuoyan,ty
讬养	tuoyang,ty
讬业	tuoye,ty
讬依	tuoyi,ty
讬意	tuoyi,ty
讬翼	tuoyi,ty
讬阴	tuoyin,ty
讬姻	tuoyin,ty
讬荫	tuoyin,ty
讬音	tuoyin,ty
讬幽	tuoyou,ty
讬于空言	tuoyukongyan,tyky
讬谕	tuoyu,ty
讬喻	tuoyu,ty
讬寓	tuoyu,ty
讬援	tuoyuan,ty
讬载	tuozai,tz
讬葬	tuozang,tz
讬正	tuozheng,tz
讬政	tuozheng,tz
讬之空言	tuozhikongyan,tzky
讬植	tuozhi,tz
讬旨	tuozhi,tz
讬纸	tuozhi,tz
讬志	tuozhi,tz
讬质	tuozhi,tz
讬终	tuozhong,tz
讬重	tuozhong,tz
讬诸空言	tuozhukongyan,tzky
讬踪	tuozong,tz
讬足	tuozu,tz
讬醉	tuozui,tz
讬坐	tuozuo,tz
