苗床	miaochuang,mc
苗茨	miaoci,mc
苗而不秀	miaoerbuxiu,mebx
苗父	miaofu,mf
苗薅	miaohao,mh
苗扈	miaohu,mh
苗家	miaojia,mj
苗稼	miaojia,mj
苗姜	miaojiang,mj
苗栗	miaoli,ml
苗栗市	miaolishi,mls
苗栗县	miaolixian,mlx
苗脉	miaomai,mm
苗米	miaomi,mm
苗民	miaomin,mm
苗末	miaomo,mm
苗木	miaomu,mm
苗圃	miaopu,mp
苗期	miaoqi,mq
苗情	miaoqing,mq
苗狩	miaoshou,ms
苗嗣	miaosi,ms
苗田	miaotian,mt
苗条	miaotiao,mt
苗条地	miaotiaode,mtd
苗条淑女	miaotiaoshunu,mtsn
苗头	miaotou,mt
苗细	miaoxi,mx
苗绪	miaoxu,mx
苗裔	miaoyi,my
苗胤	miaoyin,my
苗语	miaoyu,my
苗寨	miaozhai,mz
苗胄	miaozhou,mz
苗子	miaozi,mz
苗族	miaozu,mz
