卡昂	kaang,ka
卡巴莱	kabalai,kbl
卡巴斯基	kabasiji,kbsj
卡白	kabai,kb
卡奔塔利亚湾	kabentaliyawan,kbtlyw
卡宾枪	kabinqiang,kbq
卡癶	kabo,kb
卡癶裆	kabodang,kbd
卡波西氏肉瘤	kaboxishirouliu,kbxsrl
卡波耶拉	kaboyela,kbyl
卡脖子	qiabozi,qbz
卡布其诺	kabuqinuo,kbqn
卡布其诺咖啡	kabuqinuofei,kbqnf
卡布奇诺	kabuqinuo,kbqn
卡差	kacha,kc
卡车	kache,kc
卡尺	kachi,kc
卡达	kada,kd
卡带	kadai,kd
卡弹	kadan,kd
卡到阴	kadaoyin,kdy
卡地根郡	kadegenjun,kdgj
卡地亚	kadiya,kdy
卡垫	kadian,kd
卡丁车	kadingche,kdc
卡顿	kadun,kd
卡扼	kae,ke
卡恩	kaen,ke
卡儿水	kaershui,kes
卡尔	kaer,ke
卡尔巴拉	kaerbala,kebl
卡尔德龙	kaerdelong,kedl
卡尔顿	kaerdun,ked
卡尔加里	kaerjiali,kejl
卡尔斯鲁厄	kaersilue,kesle
卡尔文	kaerwen,kew
卡尔文克莱因	kaerwenkelaiyin,kewkly
卡尔扎伊	kaerzayi,kezy
卡方	kafang,kf
卡房	kafang,kf
卡夫	kafu,kf
卡夫卡	kafu,kf
卡富埃国家公园	kafuaiguojiagongyuan,kfagjgy
卡关	kaguan,kg
卡规	kagui,kg
卡鐄	kahuang,kh
卡介苗	kajiemiao,kjm
卡借	kajie,kj
卡具	qiaju,qj
卡卡	ka,k
卡壳	qiake,qk
卡口	kakou,kk
卡拉	kala,kl
卡拉比拉	kalabi,klb
卡拉布里亚	kalabuliya,klbly
卡拉季奇	kalaji,klj
卡拉胶	kalajiao,klj
卡拉卡斯	kalasi,kls
卡拉马佐夫兄弟	kalamazuofuxiongdi,klmzfxd
卡拉姆昌德	kalamuchangde,klmcd
卡拉奇	kalaqi,klq
卡拉奇那	kalajina,kljn
卡拉什尼科夫	kalashinikefu,klsnkf
卡剌特	kalate,klt
卡乐星	kalexing,klx
卡利多尼亚	kaliduoniya,kldny
卡利卡特	kalite,klt
卡利科	kalike,klk
卡利亚里	kaliya,kly
卡路	kalu,kl
卡路里	kaluli,kll
卡伦	kalun,kl
卡罗利纳	kaluolina,klln
卡洛驰	kaluochi,klc
卡洛娜	kaluona,kln
卡洛斯	kaluosi,kls
卡骆驰	kaluochi,klc
卡梅伦	kameilun,kml
卡美拉	kameila,kml
卡美洛	kameiluo,kml
卡门	kamen,km
卡门柏乳酪	kamenborulao,kmbrl
卡门贝	kamenbei,kmb
卡纳达语	kanadayu,kndy
卡纳蕾	kanalei,knl
卡纳塔克邦	kanatakebang,kntkb
卡纳维尔角	kanaweierjiao,knwej
卡纳维拉尔角	kanaweilaerjiao,knwlej
卡内基	kaneiji,knj
卡内基梅隆大学	kaneijimeilongdaxue,knjmldx
卡尼丁	kaniding,knd
卡农	kanong,kn
卡侬	kanong,kn
卡奴	kanu,kn
卡奴洼	kanuwa,knw
卡诺	kanuo,kn
卡帕	kapa,kp
卡牌	kapai,kp
卡盘	qiapan,qp
卡片	kapian,kp
卡片机	kapianji,kpj
卡其	kaqi,kq
卡钳	kaqian,kq
卡殻	kake,kk
卡秋莎	kaqiusha,kqs
卡萨布兰卡	kasabulan,ksbl
卡萨诺瓦	kasanuowa,ksnw
卡桑德拉	kasangdela,ksdl
卡森城	kasencheng,ksc
卡珊德拉	kashandela,ksdl
卡式	kashi,ks
卡式炉	kashilu,ksl
卡式录音机	kashiluyinji,kslyj
卡司	kasi,ks
卡斯翠	kasicui,ksc
卡斯蒂利亚	kasidiliya,ksdly
卡斯特里	kasiteli,kstl
卡斯特利翁	kasiteliweng,kstlw
卡斯特罗	kasiteluo,kstl
卡死	kasi,ks
卡榫	kasun,ks
卡塔地响	katadexiang,ktdx
卡塔尔	kataer,kte
卡塔赫纳	katahena,kthn
卡塔尼亚	kataniya,ktny
卡特	kate,kt
卡特彼勒公司	katebilegongsi,ktblgs
卡特尔	kateer,kte
卡通	katong,kt
卡瓦格博峰	kawagebofeng,kwgbf
卡哇伊	kawayi,kwy
卡哇依	kawayi,kwy
卡位	kawei,kw
卡文迪什	kawendishi,kwds
卡西米尔效应	kaximierxiaoying,kxmexy
卡西莫夫	kaximofu,kxmf
卡西尼	kaxini,kxn
卡西欧	kaxiou,kxo
卡仙尼	kaxianni,kxn
卡宴	kayan,ky
卡扎菲	kazhafei,kzf
卡债	kazhai,kz
卡纸	kazhi,kz
卡住	kazhu,kz
卡子	qiazi,qz
卡座	kazuo,kz
