最不发达国家	zuibufadaguojia,zbfdgj
最初	zuichu,zc
最初地	zuichude,zcd
最大程度地	zuidachengdude,zdcdd
最大地	zuidade,zdd
最大公因子	zuidagongyinzi,zdgyz
最大公约数	zuidagongyueshu,zdgys
最大化	zuidahua,zdh
最大可能地	zuidakenengde,zdknd
最大似然估计	zuidasiranguji,zdsrgj
最大速率	zuidasulu,zdsl
最大限度地	zuidaxiandude,zdxdd
最大限度地减少	zuidaxiandudejianshao,zdxddjs
最大值	zuidazhi,zdz
最低潮	zuidichao,zdc
最低点	zuididian,zdd
最低工资	zuidigongzi,zdgz
最低谷	zuidigu,zdg
最低气温	zuidiqiwen,zdqw
最低限度	zuidixiandu,zdxd
最低限度理论	zuidixiandulilun,zdxdll
最低音	zuidiyin,zdy
最殿	zuidian,zd
最度地	zuidude,zdd
最多	zuiduo,zd
最凡	zuifan,zf
最高	zuigao,zg
最高等	zuigaodeng,zgd
最高法院	zuigaofayuan,zgfy
最高工资限额	zuigaogongzixiane,zggzxe
最高气温	zuigaoqiwen,zgqw
最高人民法院	zuigaorenminfayuan,zgrmfy
最高人民检察院	zuigaorenminjianchayuan,zgrmjcy
最高限额	zuigaoxiane,zgxe
最高音	zuigaoyin,zgy
最观	zuiguan,zg
最害地	zuihaide,zhd
最好	zuihao,zh
最好地	zuihaode,zhd
最好地发展	zuihaodefazhan,zhdfz
最后	zuihou,zh
最后地	zuihoude,zhd
最后的审判	zuihoudeshenpan,zhdsp
最后的晚餐	zuihoudewancan,zhdwc
最后期限	zuihouqixian,zhqx
最后通牒	zuihoutongdie,zhtd
最后晚餐	zuihouwancan,zhwc
最后一刻	zuihouyike,zhyk
最后一天	zuihouyitian,zhyt
最坏地	zuihuaide,zhd
最惠国	zuihuiguo,zhg
最惠国待遇	zuihuiguodaiyu,zhgdy
最佳	zuijia,zj
最佳地	zuijiade,zjd
最佳化	zuijiahua,zjh
最佳利益	zuijialiyi,zjly
最简分数	zuijianfenshu,zjfs
最简根式	zuijiangenshi,zjgs
最节制地	zuijiezhide,zjzd
最近	zuijin,zj
最近地	zuijinde,zjd
最近几年	zuijinjinian,zjjn
最决定地	zuijuedengde,zjdd
最可觞客	zhuikeshang,zks
最课	zuike,zk
最快	zuikuai,zk
最快地	zuikuaide,zkd
最快捷地	zuikuaijiede,zkjd
最理想地	zuilixiangde,zlxd
最吏	zuili,zl
最乱地	zuiluande,zld
最密堆积	zuimiduiji,zmdj
最名地	zuimingde,zmd
最目	zuimu,zm
最能	zuineng,zn
最能上地	zuinengshangde,znsd
最年长	zuinianzhang,znz
最品	zuipin,zp
最启	zuiqi,zq
最强地	zuiqiangde,zqd
最趣地	zuiqude,zqd
最缺点地	zuiquediande,zqdd
最善	zuishan,zs
最上乘	zuishangcheng,zsc
最上地	zuishangde,zsd
最少	zuishao,zs
最适宜地	zuishiyide,zsyd
最为	zuiwei,zw
最喜爱	zuixiai,zxa
最下面地	zuixiamiande,zxmd
最下位地	zuixiaweide,zxwd
最先	zuixian,zx
最小二乘	zuixiaoercheng,zxec
最小公倍数	zuixiaogongbeishu,zxgbs
最小公分母	zuixiaogongfenmu,zxgfm
最小化	zuixiaohua,zxh
最小平方法	zuixiaopingfangfa,zxpff
最小值	zuixiaozhi,zxz
最效地	zuixiaode,zxd
最新	zuixin,zx
最新地	zuixinde,zxd
最性地	zuixingde,zxd
最雄辩地证明	zuixiongbiandezhengming,zxbdzm
最优	zuiyou,zy
最优地	zuiyoude,zyd
最优化	zuiyouhua,zyh
最尤	zuiyou,zy
最有效地	zuiyouxiaode,zyxd
最远	zuiyuan,zy
最长期地	zuichangqide,zcqd
最终	zuizhong,zz
最终地	zuizhongde,zzd
最终幻想	zuizhonghuanxiang,zzhx
