饭把子	fanbazi,fbz
饭包	fanbao,fb
饭匕	fanbi,fb
饭飶	fanbi,fb
饭钵	fanbo,fb
饭菜	fancai,fc
饭厂	fanchang,fc
饭场	fanchang,fc
饭车	fanche,fc
饭床	fanchuang,fc
饭袋	fandai,fd
饭单	fandan,fd
饭岛柳莺	fandaoliuying,fdly
饭稻	fandao,fd
饭店	fandian,fd
饭豆	fandou,fd
饭感	fangan,fg
饭格	fange,fg
饭羹	fangeng,fg
饭鼓	fangu,fg
饭瓜	fangua,fg
饭馆	fanguan,fg
饭馆儿	fanguaner,fge
饭罐	fanguan,fg
饭锅	fanguo,fg
饭含	fanhan,fh
饭唅	fanhan,fh
饭盒	fanhe,fh
饭后服用	fanhoufuyong,fhfy
饭后钟	fanhouzhong,fhz
饭会	fanhui,fh
饭痂	fanjia,fj
饭局	fanju,fj
饭筥	fanju,fj
饭颗	fanke,fk
饭颗山	fankeshan,fks
饭坑	fankeng,fk
饭坑酒囊	fankengjiunang,fkjn
饭口	fankou,fk
饭库	fanku,fk
饭来开口	fanlaikaikou,flkk
饭来张口	fanlaizhangkou,flzk
饭篮	fanlan,fl
饭类	fanlei,fl
饭粒	fanli,fl
饭粝茹蔬	fanlirushu,flrs
饭粱	fanliang,fl
饭量	fanliang,fl
饭箩	fanluo,fl
饭煤	fanmei,fm
饭米	fanmi,fm
饭囊	fannang,fn
饭囊酒瓮	fannangjiuweng,fnjw
饭囊酒甕	fannangjiuweng,fnjw
饭囊衣架	fannangyijia,fnyj
饭牛	fanniu,fn
饭牛歌	fanniuge,fng
饭牛屠狗	fanniutugou,fntg
饭盘	fanpan,fp
饭盆	fanpen,fp
饭票	fanpiao,fp
饭铺	fanpu,fp
饭齐	fanqi,fq
饭气攻心	fanqigongxin,fqgx
饭器	fanqi,fq
饭钱	fanqian,fq
饭秦	fanqin,fq
饭磬	fanqing,fq
饭糗	fanqiu,fq
饭糗茹草	fanqiurucao,fqrc
饭曲	fanqu,fq
饭圈	fanquan,fq
饭糁	fanshen,fs
饭槮	fansen,fs
饭僧	fanseng,fs
饭山	fanshan,fs
饭勺	fanshao,fs
饭石	fanshi,fs
饭时	fanshi,fs
饭食	fanshi,fs
饭匙	fanchi,fc
饭蔬	fanshu,fs
饭蔬饮水	fanshuyinshui,fsys
饭数	fanshu,fs
饭饲	fansi,fs
饭飧	fansun,fs
饭摊	fantan,ft
饭堂	fantang,ft
饭替	fanti,ft
饭贴	fantie,ft
饭厅	fanting,ft
饭桶	fantong,ft
饭筒	fantong,ft
饭头	fantou,ft
饭团	fantuan,ft
饭托	fantuo,ft
饭丸	fanwan,fw
饭椀	fanwan,fw
饭碗	fanwan,fw
饭瓮	fanweng,fw
饭物	fanwu,fw
饭腥	fanxing,fx
饭肴	fanyao,fy
饭银	fanyin,fy
饭饮	fanyin,fy
饭盂	fanyu,fy
饭玉	fanyu,fy
饭鬻	fanyu,fy
饭甑	fanzeng,fz
饭辙	fanzhe,fz
饭钟	fanzhong,fz
饭帚	fanzhou,fz
饭主	fanzhu,fz
饭祝	fanzhu,fz
饭庄	fanzhuang,fz
饭桌	fanzhuo,fz
饭资	fanzi,fz
