输币	shubi,sb
输不的	shubude,sbd
输不起	shubuqi,sbq
输财	shucai,sc
输财助边	shucaizhubian,sczb
输场	shuchang,sc
输忱	shuchen,sc
输诚	shucheng,sc
输筹	shuchou,sc
输出	shuchu,sc
输出管	shuchuguan,scg
输出品	shuchupin,scp
输倕	shuchui,sc
输赕	shudan,sd
输得起	shudeqi,sdq
输电	shudian,sd
输掉	shudiao,sd
输发	shufa,sf
输贩	shufan,sf
输服	shufu,sf
输赋	shufu,sf
输肝沥胆	shuganlidan,sgld
输肝剖胆	shuganpoudan,sgpd
输肝写胆	shuganxiedan,sgxd
输纲	shugang,sg
输给	shugei,sg
输攻墨守	shugongmoshou,sgms
输供	shugong,sg
输贡	shugong,sg
输估	shugu,sg
输官	shuguan,sg
输灌	shuguan,sg
输机	shuji,sj
输积	shuji,sj
输籍法	shujifa,sjf
输家	shujia,sj
输将	shujiang,sj
输竭	shujie,sj
输赆	shujin,sj
输賮	shujin,sj
输精管	shujingguan,sjg
输捐	shujuan,sj
输款	shukuan,sk
输亏	shukui,sk
输悃	shukun,sk
输理	shuli,sl
输力	shuli,sl
输虑	shulu,sl
输卵管	shuluanguan,slg
输掠	shulue,sl
输芒	shumang,sm
输墨	shumo,sm
输墨装置	shumozhuangzhi,smzz
输纳	shuna,sn
输辇	shunian,sn
输尿管	shuniaoguan,sng
输平	shuping,sp
输期	shuqi,sq
输气	shuqi,sq
输钱	shuqian,sq
输巧	shuqiao,sq
输勤	shuqin,sq
输情	shuqing,sq
输荣	shurong,sr
输入	shuru,sr
输入法	shurufa,srf
输入设备	shurushebei,srsb
输入系统	shuruxitong,srxt
输入阻抗	shuruzukang,srzk
输沙量	shushaliang,ssl
输身	shushen,ss
输失	shushi,ss
输实	shushi,ss
输输	shu,s
输鼠	shu,s
输水管	shushuiguan,ssg
输税	shushui,ss
输送	shusong,ss
输送带	shusongdai,ssd
输送媒介	shusongmeijie,ssmj
输粟	shusu,ss
输徒	shutu,st
输挽	shuwan,sw
输委	shuwei,sw
输小	shuxiao,sx
输效	shuxiao,sx
输写	shuxie,sx
输泻	shuxie,sx
输谢	shuxie,sx
输心	shuxin,sx
输心服意	shuxinfuyi,sxfy
输血	shuxue,sx
输眼	shuyan,sy
输氧	shuyang,sy
输液	shuye,sy
输移	shuyi,sy
输遗	shuyi,sy
输役	shuyi,sy
输赢	shuying,sy
输庸	shuyong,sy
输油管	shuyouguan,syg
输运	shuyun,sy
输征	shuzheng,sz
输志	shuzhi,sz
输忠	shuzhong,sz
输助	shuzhu,sz
输注	shuzhu,sz
输转	shuzhuan,sz
输租	shuzu,sz
输卒	shuzu,sz
输嘴	shuzui,sz
输作	shuzuo,sz
