绿暗红稀	luanhongxi,lahx
绿坝	luba,lb
绿宝石	lubaoshi,lbs
绿背姬鹟	lubeijiweng,lbjw
绿背林鹟	lubeilinweng,lblw
绿背山雀	lubeishanque,lbsq
绿鬓红颜	lubinhongyan,lbhy
绿鬓朱颜	lubinzhuyan,lbzy
绿菜花	lucaihua,lch
绿惨红愁	lucanhongchou,lchc
绿惨红销	lucanhongxiao,lchx
绿草	lucao,lc
绿草如茵	lucaoruyin,lcry
绿茶	lucha,lc
绿茶婊	luchabiao,lcb
绿赤杨	luchiyang,lcy
绿翅短脚鹎	luchiduanjiaobei,lcdjb
绿翅金鸠	luchijinjiu,lcjj
绿翅鸭	luchiya,lcy
绿春	luchun,lc
绿春县	luchunxian,lcx
绿葱葱	lucong,lc
绿党	ludang,ld
绿岛	ludao,ld
绿岛乡	ludaoxiang,ldx
绿地	ludi,ld
绿灯	ludeng,ld
绿豆	ludou,ld
绿豆糕	ludougao,ldg
绿豆椪	ludoupeng,ldp
绿豆凸	ludoutu,ldt
绿豆蝇	ludouying,ldy
绿矾	lufan,lf
绿肥	lufei,lf
绿肥红瘦	lufeihongshou,lfhs
绿喉蜂虎	luhoufenghu,lhfh
绿喉太阳鸟	luhoutaiyangniao,lhtyn
绿花菜	luhuacai,lhc
绿花椰菜	luhuayecai,lhyc
绿化	luhua,lh
绿化带	luhuadai,lhd
绿皇鸠	luhuangjiu,lhj
绿箭	lujian,lj
绿脚山鹧鸪	lujiaoshanzhegu,ljszg
绿教	lujiao,lj
绿酒红灯	lujiuhongdeng,ljhd
绿卡	luka,lk
绿孔雀	lukongque,lkq
绿宽嘴鸫	lukuanzuidong,lkzd
绿浪	lulang,ll
绿篱	luli,ll
绿林	lulin,ll
绿林大盗	lulindadao,lldd
绿林豪杰	lulinhaojie,llhj
绿林豪客	lulinhaoke,llhk
绿林豪士	lulinhaoshi,llhs
绿林好汉	lulinhaohan,llhh
绿林起义	lulinqiyi,llqy
绿林强盗	lulinqiangdao,llqd
绿鹭	lu,l
绿玛瑙	lumanao,lmn
绿帽子	lumaozi,lmz
绿泥石	lunishi,lns
绿女红男	lunuhongnan,lnhn
绿盘	lupan,lp
绿皮车	lupiche,lpc
绿皮书	lupishu,lps
绿萍	luping,lp
绿旗兵	luqibing,lqb
绿区	luqu,lq
绿雀	luque,lq
绿茸茸	lurong,lr
绿色	luse,ls
绿色和平	luseheping,lshp
绿色食品	luseshipin,lssp
绿色通道	lusetongdao,lstd
绿树	lushu,ls
绿树成荫	lushuchengyin,lscy
绿水	lushui,ls
绿水青山	lushuiqingshan,lsqs
绿松石	lusongshi,lss
绿蓑青笠	lusuoqingli,lsql
绿苔	lutai,lt
绿头巾	lutoujin,ltj
绿头鸭	lutouya,lty
绿尾虹雉	luweihongzhi,lwhz
绿胸八色鸫	luxiongbasedong,lxbsd
绿野	luye,ly
绿叶	luye,ly
绿叶成阴	luyechengyin,lycy
绿叶成荫	luyechengyin,lycy
绿衣黄里	luyihuangli,lyhl
绿衣使者	luyishizhe,lysz
绿阴	luyin,ly
绿茵	luyin,ly
绿茵场	luyinchang,lyc
绿茵茵	luyin,ly
绿荫	luyin,ly
绿莹莹	luying,ly
绿营	luying,ly
绿营兵	luyingbing,lyb
绿油油	luyou,ly
绿玉髓	luyusui,lys
绿园	luyuan,ly
绿园区	luyuanqu,lyq
绿藻	luzao,lz
绿洲	luzhou,lz
绿嘴地鹃	luzuidijuan,lzdj
