观兵	guanbing,gb
观采	guancai,gc
观测	guance,gc
观测台	guancetai,gct
观测卫星	guanceweixing,gcwx
观测员	guanceyuan,gcy
观测者	guancezhe,gcz
观察	guancha,gc
观察家	guanchajia,gcj
观察力	guanchali,gcl
观察人士	guancharenshi,gcrs
观察哨	guanchashao,gcs
观察使	guanchashi,gcs
观察室	guanchashi,gcs
观察所	guanchasuo,gcs
观察员	guanchayuan,gcy
观察者	guanchazhe,gcz
观觇	guanchan,gc
观场	guanchang,gc
观场矮人	guanchangairen,gcar
观潮	guanchao,gc
观成	guancheng,gc
观池	guanchi,gc
观德	guande,gd
观灯	guandeng,gd
观点	guandian,gd
观鼎	guanding,gd
观读	guandu,gd
观睹	guandu,gd
观覩	guandu,gd
观法	guanfa,gf
观风	guanfeng,gf
观风察俗	guanfengchasu,gfcs
观风使	guanfengshi,gfs
观感	guangan,gg
观阁	guange,gg
观顾	guangu,gg
观光	guanguang,gg
观光客	guanguangke,ggk
观光农业	guanguangnongye,ggny
观光区	guanguangqu,ggq
观国	guanguo,gg
观过知仁	guanguozhiren,ggzr
观海	guanhai,gh
观好	guanhao,gh
观河	guanhe,gh
观后感	guanhougan,ghg
观后镜	guanhoujing,ghj
观护所	guanhusuo,ghs
观花植物	guanhuazhiwu,ghzw
观化	guanhua,gh
观化听风	guanhuatingfeng,ghtf
观火	guanhuo,gh
观机而动	guanjierdong,gjed
观机而作	guanjierzuo,gjez
观稼	guanjia,gj
观见	guanjian,gj
观今宜鉴古	guanjinyijiangu,gjyjg
观井	guanjing,gj
观景台	guanjingtai,gjt
观看	guankan,gk
观客	guanke,gk
观窥	guankui,gk
观澜湖	guanlanhu,glh
观览	guanlan,gl
观乐	guanle,gl
观礼	guanli,gl
观礼台	guanlitai,glt
观历	guanli,gl
观落阴	guanluoyin,gly
观貌察色	guanmaochase,gmcs
观眉说眼	guanmeishuoyan,gmsy
观梅	guanmei,gm
观美	guanmei,gm
观民	guanmin,gm
观摩	guanmo,gm
观目	guanmu,gm
观念	guannian,gn
观念形态	guannianxingtai,gnxt
观念艺术	guannianyishu,gnys
观鸟	guanniao,gn
观傩	guannuo,gn
观瞧	guanqiao,gq
观觑	guanqu,gq
观阙	guanque,gq
观日玉	guanriyu,gry
观赛	guansai,gs
观色	guanse,gs
观山玩水	guanshanwanshui,gsws
观山翫水	guanshanwanshui,gsws
观赏	guanshang,gs
观赏鱼	guanshangyu,gsy
观赏植物	guanshangzhiwu,gszw
观睄	guanqiao,gq
观身	guanshen,gs
观省	guansheng,gs
观时	guanshi,gs
观世	guanshi,gs
观世音	guanshiyin,gsy
观世音菩萨	guanshiyinpusa,gsyps
观示	guanshi,gs
观事	guanshi,gs
观视	guanshi,gs
观试	guanshi,gs
观寺	guansi,gs
观俗	guansu,gs
观台	guantai,gt
观塘	guantang,gt
观眺	guantiao,gt
观听	guanting,gt
观玩	guanwan,gw
观翫	guanwan,gw
观往知来	guanwangzhilai,gwzl
观望	guanwang,gw
观望不前	guanwangbuqian,gwbq
观魏	guanwei,gw
观文	guanwen,gw
观戏	guanxi,gx
观想	guanxiang,gx
观象	guanxiang,gx
观象台	guanxiangtai,gxt
观笑	guanxiao,gx
观榭	guanxie,gx
观心	guanxin,gx
观衅	guanxin,gx
观衅伺隙	guanxinsixi,gxsx
观星台	guanxingtai,gxt
观行	guanxing,gx
观形察色	guanxingchase,gxcs
观仰	guanyang,gy
观颐	guanyi,gy
观音	guanyin,gy
观音大士	guanyindashi,gyds
观音兜	guanyindou,gyd
观音粉	guanyinfen,gyf
观音菊	guanyinju,gyj
观音莲	guanyinlian,gyl
观音柳	guanyinliu,gyl
观音衲	guanyinna,gyn
观音菩萨	guanyinpusa,gyps
观音手	guanyinshou,gys
观音素	guanyinsu,gys
观音土	guanyintu,gyt
观音乡	guanyinxiang,gyx
观音竹	guanyinzhu,gyz
观优	guanyou,gy
观游	guanyou,gy
观鱼	guanyu,gy
观渔	guanyu,gy
观隅反三	guanyufansan,gyfs
观宇	guanyu,gy
观则	guanze,gz
观瞻	guanzhan,gz
观占	guanzhan,gz
观战	guanzhan,gz
观照	guanzhao,gz
观者成堵	guanzhechengdu,gzcd
观者如堵	guanzherudu,gzrd
观者如垛	guanzheruduo,gzrd
观者如市	guanzherushi,gzrs
观者如云	guanzheruyun,gzry
观者如织	guanzheruzhi,gzrz
观者云集	guanzheyunji,gzyj
观阵	guanzhen,gz
观政	guanzheng,gz
观止	guanzhi,gz
观志	guanzhi,gz
观治	guanzhi,gz
观众	guanzhong,gz
观众席	guanzhongxi,gzx
观瞩	guanzhu,gz
观自在	guanzizai,gzz
