产媪	chanao,ca
产成品	chanchengpin,ccp
产程	chancheng,cc
产出	chanchu,cc
产床	chanchuang,cc
产道	chandao,cd
产地	chandi,cd
产地证	chandizheng,cdz
产的	chande,cd
产额	chane,ce
产儿	chaner,ce
产房	chanfang,cf
产妇	chanfu,cf
产供销	changongxiao,cgx
产嘏	changu,cg
产后	chanhou,ch
产后风	chanhoufeng,chf
产后热	chanhoure,chr
产疾	chanji,cj
产家大器	chanjiadaqi,cjdq
产假	chanjia,cj
产检	chanjian,cj
产经新闻	chanjingxinwen,cjxw
产具	chanju,cj
产科	chanke,ck
产利	chanli,cl
产粮	chanliang,cl
产粮大省	chanliangdasheng,clds
产粮地	chanliangde,cld
产粮区	chanliangqu,clq
产量	chanliang,cl
产量多	chanliangduo,cld
产量多地	chanliangduode,cldd
产卵	chanluan,cl
产马	chanma,cm
产门	chanmen,cm
产米地	chanmide,cmd
产母	chanmu,cm
产母痨	chanmulao,cml
产牧	chanmu,cm
产难	channan,cn
产能	channeng,cn
产品	chanpin,cp
产品结构	chanpinjiegou,cpjg
产品经理	chanpinjingli,cpjl
产品质量	chanpinzhiliang,cpzl
产婆	chanpo,cp
产期	chanqi,cq
产气	chanqi,cq
产气地	chanqide,cqd
产前	chanqian,cq
产前检查	chanqianjiancha,cqjc
产钳	chanqian,cq
产区	chanqu,cq
产权	chanquan,cq
产乳	chanru,cr
产蓐	chanru,cr
产褥	chanru,cr
产褥期	chanruqi,crq
产褥热	chanrure,crr
产穑	chanse,cs
产舍	chanshe,cs
产生	chansheng,cs
产莳	chanshi,cs
产毻	chantuo,ct
产翁	chanweng,cw
产物	chanwu,cw
产下	chanxia,cx
产销	chanxiao,cx
产需	chanxu,cx
产羊	chanyang,cy
产业	chanye,cy
产业革命	chanyegeming,cygm
产业工人	chanyegongren,cygr
产业化	chanyehua,cyh
产业集群	chanyejiqun,cyjq
产业结构	chanyejiegou,cyjg
产业链	chanyelian,cyl
产业政策	chanyezhengce,cyzc
产业资本	chanyeziben,cyzb
产油国	chanyouguo,cyg
产育	chanyu,cy
产院	chanyuan,cy
产值	chanzhi,cz
产植	chanzhi,cz
产殖	chanzhi,cz
产制	chanzhi,cz
产子	chanzi,cz
产仔	chanzi,cz
