卫报	weibao,wb
卫跸	weibi,wb
卫蔽	weibi,wb
卫滨	weibin,wb
卫滨区	weibinqu,wbq
卫兵	weibing,wb
卫布	weibu,wb
卫藏	weicang,wc
卫城	weicheng,wc
卫赐	weici,wc
卫从	weicong,wc
卫道	weidao,wd
卫道士	weidaoshi,wds
卫鼎	weiding,wd
卫东	weidong,wd
卫东区	weidongqu,wdq
卫队	weidui,wd
卫奉	weifeng,wf
卫夫人	weifuren,wfr
卫服	weifu,wf
卫符	weifu,wf
卫辅	weifu,wf
卫顾	weigu,wg
卫国	weiguo,wg
卫鹤	weihe,wh
卫虎	weihu,wh
卫护	weihu,wh
卫画	weihua,wh
卫辉	weihui,wh
卫辉市	weihuishi,whs
卫霍	weihuo,wh
卫畿	weiji,wj
卫籍	weiji,wj
卫舰	weijian,wj
卫拉特	weilate,wlt
卫乐	weile,wl
卫理公会	weiligonghui,wlgh
卫留成	weiliucheng,wlc
卫满朝鲜	weimanchaoxian,wmcx
卫冕	weimian,wm
卫幕	weimu,wm
卫娘	weiniang,wn
卫气	weiqi,wq
卫蘧	weiqu,wq
卫阙	weique,wq
卫摄	weishe,ws
卫生	weisheng,ws
卫生部	weishengbu,wsb
卫生带	weishengdai,wsd
卫生地	weishengde,wsd
卫生防疫	weishengfangyi,wsfy
卫生官员	weishengguanyuan,wsgy
卫生间	weishengjian,wsj
卫生巾	weishengjin,wsj
卫生局	weishengju,wsj
卫生裤	weishengku,wsk
卫生筷	weishengkuai,wsk
卫生棉	weishengmian,wsm
卫生棉条	weishengmiantiao,wsmt
卫生球	weishengqiu,wsq
卫生设备	weishengshebei,wssb
卫生署	weishengshu,wss
卫生陶瓷	weishengtaoci,wstc
卫生套	weishengtao,wst
卫生厅	weishengting,wst
卫生丸	weishengwan,wsw
卫生香	weishengxiang,wsx
卫生衣	weishengyi,wsy
卫生用纸	weishengyongzhi,wsyz
卫生员	weishengyuan,wsy
卫生院	weishengyuan,wsy
卫生纸	weishengzhi,wsz
卫士	weishi,ws
卫氏朝鲜	weishichaoxian,wscx
卫侍	weishi,ws
卫视	weishi,ws
卫守	weishou,ws
卫戍	weishu,ws
卫戍区	weishuqu,wsq
卫水	weishui,ws
卫送	weisong,ws
卫所	weisuo,ws
卫索	weisuo,ws
卫尉	wei,w
卫校	weixiao,wx
卫星	weixing,wx
卫星城	weixingcheng,wxc
卫星城镇	weixingchengzhen,wxcz
卫星导航	weixingdaohang,wxdh
卫星导航系统	weixingdaohangxitong,wxdhxt
卫星电视	weixingdianshi,wxds
卫星定位系统	weixingdingxitong,wxdxt
卫星通信	weixingtongxin,wxtx
卫星通信地球站	weixingtongxindiqiuzhan,wxtxdqz
卫星图	weixingtu,wxt
卫星图像	weixingtuxiang,wxtx
卫星云图	weixingyuntu,wxyt
卫星站	weixingzhan,wxz
卫养	weiyang,wy
卫衣	weiyi,wy
卫奕信	weiyixin,wyx
卫翼	weiyi,wy
卫鱼	weiyu,wy
卫玉	weiyu,wy
卫浴	weiyu,wy
卫仗	weizhang,wz
卫助	weizhu,wz
卫子	weizi,wz
卫子瑕	weizixia,wzx
卫足	weizu,wz
卫足葵	weizukui,wzk
卫卒	weizu,wz
