遮碍	zheai,za
遮般	zheban,zb
遮庇	zhebi,zb
遮萆	zhebi,zb
遮蔽	zhebi,zb
遮边	zhebian,zb
遮辩	zhebian,zb
遮拨	zhebo,zb
遮不	zhebu,zb
遮藏	zhecang,zc
遮车	zheche,zc
遮丑	zhechou,zc
遮簇	zhecu,zc
遮当	zhedang,zd
遮挡	zhedang,zd
遮道	zhedao,zd
遮地盖天	zhedigaitian,zdgt
遮地漫天	zhedimantian,zdmt
遮抵	zhedi,zd
遮迭	zhedie,zd
遮冬	zhedong,zd
遮断	zheduan,zd
遮扼	zhee,ze
遮遏	zhee,ze
遮防	zhefang,zf
遮风避雨	zhefengbiyu,zfby
遮风挡雨	zhefengdangyu,zfdy
遮敷	zhefu,zf
遮覆	zhefu,zf
遮盖	zhegai,zg
遮隔	zhege,zg
遮个	zhege,zg
遮姑	zhegu,zg
遮锢	zhegu,zg
遮光	zheguang,zg
遮扞	zhegan,zg
遮阂	zhehe,zh
遮糊	zhehu,zh
遮护	zhehu,zh
遮护板	zhehuban,zhb
遮回	zhehui,zh
遮获	zhehuo,zh
遮击	zheji,zj
遮架	zhejia,zj
遮箭牌	zhejianpai,zjp
遮劫	zhejie,zj
遮截	zhejie,zj
遮禁	zhejin,zj
遮绝	zhejue,zj
遮空蔽日	zhekongbiri,zkbr
遮剌	zhela,zl
遮兰	zhelan,zl
遮拦	zhelan,zl
遮栏	zhelan,zl
遮阑	zhelan,zl
遮里	zheli,zl
遮厉	zheli,zl
遮恋	zhelian,zl
遮列	zhelie,zl
遮迾	zhelie,zl
遮留	zheliu,zl
遮笼	zhelong,zl
遮路	zhelu,zl
遮略	zhelue,zl
遮罗	zheluo,zl
遮逻	zheluo,zl
遮瞒	zheman,zm
遮漫	zheman,zm
遮冒	zhemao,zm
遮么	zhemo,zm
遮没	zhemei,zm
遮蒙	zhemeng,zm
遮幪	zhemeng,zm
遮面子	zhemianzi,zmz
遮抹	zhemo,zm
遮末	zhemo,zm
遮莫	zhemo,zm
遮目鱼	zhemuyu,zmy
遮捺	zhena,zn
遮篷	zhepeng,zp
遮齐	zheqi,zq
遮前掩后	zheqianyanhou,zqyh
遮渠	zhequ,zq
遮诠	zhequan,zq
遮绕	zherao,zr
遮人耳目	zherenermu,zrem
遮人眼目	zherenyanmu,zrym
遮三瞒四	zhesanmansi,zsms
遮奢	zheshe,zs
遮饰	zheshi,zs
遮手	zheshou,zs
遮说	zheshuo,zs
遮堂	zhetang,zt
遮天	zhetian,zt
遮天蔽日	zhetianbiri,ztbr
遮天盖地	zhetiangaidi,ztgd
遮天盖日	zhetiangairi,ztgr
遮天迷地	zhetianmidi,ztmd
遮天映日	zhetianyingri,ztyr
遮天子	zhetianzi,ztz
遮头安脚	zhetouanjiao,ztaj
遮挽	zhewan,zw
遮罔	zhewang,zw
遮卫	zhewei,zw
遮瑕膏	zhexiagao,zxg
遮嚣	zhexiao,zx
遮行	zhexing,zx
遮羞	zhexiu,zx
遮羞布	zhexiubu,zxb
遮须国	zhexuguo,zxg
遮沿	zheyan,zy
遮檐	zheyan,zy
遮掩	zheyan,zy
遮掩耳目	zheyanermu,zyem
遮眼	zheyan,zy
遮眼法	zheyanfa,zyf
遮阳	zheyang,zy
遮阳板	zheyangban,zyb
遮阳镜	zheyangjing,zyj
遮阳帽	zheyangmao,zym
遮阳篷	zheyangpeng,zyp
遮阳伞	zheyangsan,zys
遮洋	zheyang,zy
遮邀	zheyao,zy
遮要	zheyao,zy
遮抑	zheyi,zy
遮翳	zheyi,zy
遮阴	zheyin,zy
遮荫	zheyin,zy
遮隐	zheyin,zy
遮廕	zheyin,zy
遮影	zheying,zy
遮映	zheying,zy
遮暎	zheying,zy
遮拥	zheyong,zy
遮壅	zheyong,zy
遮语	zheyu,zy
遮匝	zheza,zz
遮咤迦鸟	zhezhajianiao,zzjn
遮寨	zhezhai,zz
遮占	zhezhan,zz
遮障	zhezhang,zz
遮遮捂捂	zhewu,zw
遮遮掩掩	zheyan,zy
遮辙	zhe,z
遮止	zhezhi,zz
遮迣	zhezhi,zz
遮嘱	zhezhu,zz
遮住	zhezhu,zz
