奏案	zouan,za
奏白	zoubai,zb
奏版	zouban,zb
奏报	zoubao,zb
奏本	zouben,zb
奏表	zoubiao,zb
奏禀	zoubing,zb
奏补	zoubu,zb
奏裁	zoucai,zc
奏参	zoucan,zc
奏草	zoucao,zc
奏厕	zouce,zc
奏差	zoucha,zc
奏钞	zouchao,zc
奏陈	zouchen,zc
奏呈	zoucheng,zc
奏床	zouchuang,zc
奏弹	zoudan,zd
奏当	zoudang,zd
奏刀	zoudao,zd
奏牍	zoudu,zd
奏对	zoudui,zd
奏覆	zoufu,zf
奏稿	zougao,zg
奏藁	zougao,zg
奏告	zougao,zg
奏歌	zouge,zg
奏工	zougong,zg
奏公	zougong,zg
奏功	zougong,zg
奏劾	zouhe,zh
奏计	zouji,zj
奏记	zouji,zj
奏伎	zouji,zj
奏技	zouji,zj
奏绩	zouji,zj
奏假	zoujia,zj
奏笺	zoujian,zj
奏荐	zoujian,zj
奏奬	zoujiang,zj
奏讦	zoujie,zj
奏捷	zoujie,zj
奏决	zoujue,zj
奏凯	zoukai,zk
奏可	zouke,zk
奏课	zouke,zk
奏乐	zouyue,zy
奏名	zouming,zm
奏明	zouming,zm
奏鸣曲	zoumingqu,zmq
奏鸣曲式	zoumingqushi,zmqs
奏目	zoumu,zm
奏辟	zoupi,zp
奏请	zouqing,zq
奏曲	zouqu,zq
奏阕	zouque,zq
奏剡	zouyan,zy
奏上	zoushang,zs
奏审	zoushen,zs
奏事	zoushi,zs
奏事官	zoushiguan,zsg
奏书	zoushu,zs
奏疏	zoushu,zs
奏帖	zoutie,zt
奏闻	zouwen,zw
奏舞	zouwu,zw
奏销	zouxiao,zx
奏效	zouxiao,zx
奏削	zouxue,zx
奏言	zouyan,zy
奏谳	zouyan,zy
奏议	zouyi,zy
奏荫	zouyin,zy
奏廕	zouyin,zy
奏庸	zouyong,zy
奏御	zouyu,zy
奏札	zouzha,zz
奏劄	zouzha,zz
奏章	zouzhang,zz
奏折	zouzhe,zz
奏正	zouzheng,zz
奏状	zouzhuang,zz
奏最	zouzui,zz
