反安慰剂	fananweiji,fawj
反扒	fanpa,fp
反把	fanba,fb
反霸	fanba,fb
反白	fanbai,fb
反败为胜	fanbaiweisheng,fbws
反绑	fanbang,fb
反包围	fanbaowei,fbw
反报	fanbao,fb
反暴	fanbao,fb
反北	fanbei,fb
反背	fanbei,fb
反本	fanben,fb
反鼻	fanbi,fb
反比	fanbi,fb
反比例	fanbili,fbl
反闭	fanbi,fb
反璧	fanbi,fb
反鞭	fanbian,fb
反兵	fanbing,fb
反拨	fanbo,fb
反驳	fanbo,fb
反哺	fanbu,fb
反哺之情	fanbuzhiqing,fbzq
反哺之私	fanbuzhisi,fbzs
反侧	fance,fc
反侧子	fancezi,fcz
反差	fancha,fc
反铲	fanchan,fc
反常	fanchang,fc
反常地	fanchangde,fcd
反常膨胀	fanchangpengzhang,fcpz
反常情地	fanchangqingde,fcqd
反常现象	fanchangxianxiang,fcxx
反常行为	fanchangxingwei,fcxw
反超	fanchao,fc
反衬	fanchen,fc
反城	fancheng,fc
反齿	fanchi,fc
反赤道流	fanchidaoliu,fcdl
反冲	fanchong,fc
反冲力	fanchongli,fcl
反初	fanchu,fc
反刍	fanchu,fc
反刍动物	fanchudongwu,fcdw
反传算法	fanchuansuanfa,fcsf
反串	fanchuan,fc
反唇	fanchun,fc
反唇相讥	fanchunxiangji,fcxj
反唇相稽	fanchunxiangji,fcxj
反辞	fanci,fc
反毳	fancui,fc
反弹	fantan,ft
反弹导弹	fandandao,fdd
反弹道导弹导弹	fandandao,fdd
反党	fandang,fd
反导	fandao,fd
反导弹	fandaodan,fdd
反导导弹	fandaodan,fdd
反导系统	fandaoxitong,fdxt
反倒	fandao,fd
反道	fandao,fd
反德	fande,fd
反帝	fandi,fd
反电动势	fandiandongshi,fdds
反电子	fandianzi,fdz
反坫	fandian,fd
反调	fandiao,fd
反跌	fandie,fd
反动	fandong,fd
反动地	fandongde,fdd
反动分子	fandongfenzi,fdfz
反动派	fandongpai,fdp
反动势力	fandongshili,fdsl
反杜林论	fandulinlun,fdll
反对	fandui,fd
反对本本主义	fanduibenzhuyi,fdbzy
反对党	fanduidang,fdd
反对地	fanduide,fdd
反对概念	fanduigainian,fdgn
反对派	fanduipai,fdp
反对判断	fanduipanduan,fdpd
反对票	fanduipiao,fdp
反对数	fanduishu,fds
反而	faner,fe
反尔	faner,fe
反法同盟	fanfatongmeng,fftm
反反	fan,f
反反复复	fanfu,ff
反方	fanfang,ff
反方向地	fanfangxiangde,ffxd
反分裂法	fanfenliefa,fflf
反风	fanfeng,ff
反风灭火	fanfengmiehuo,ffmh
反讽	fanfeng,ff
反服	fanfu,ff
反俘	fanfu,ff
反辐射导弹	fanfushedaodan,ffsdd
反腐	fanfu,ff
反腐败	fanfubai,ffb
反腐倡廉	fanfuchanglian,ffcl
反复	fanfu,ff
反复地	fanfude,ffd
反复地说	fanfudeshuo,ffds
反复地问	fanfudewen,ffdw
反复地做	fanfudezuo,ffdz
反复手	fanfushou,ffs
反复推敲	fanfutuiqiao,fftq
反复无常	fanfuwuchang,ffwc
反缚	fanfu,ff
反覆	fanfu,ff
反覆地讲	fanfudejiang,ffdj
反覆手	fanfushou,ffs
反感	fangan,fg
反高潮	fangaochao,fgc
反告	fangao,fg
反戈	fange,fg
反戈相向	fangexiang,fgx
反戈一击	fangeyiji,fgyj
反革命	fangeming,fgm
反革命宣传煽动罪	fangemingxuanchuanshandongzui,fgmxcsdz
反革命战争	fangemingzhanzheng,fgmzz
反根	fangen,fg
反攻	fangong,fg
反攻倒算	fangongdaosuan,fgds
反供	fangong,fg
反躬	fangong,fg
反躬自省	fangongzixing,fgzx
反躬自问	fangongziwen,fgzw
反躬自责	fangongzize,fgzz
反共	fangong,fg
反古	fangu,fg
反骨	fangu,fg
反故	fangu,fg
反顾	fangu,fg
反关	fanguan,fg
反观	fanguan,fg
反光	fanguang,fg
反光灯	fanguangdeng,fgd
反光镜	fanguangjing,fgj
反光面	fanguangmian,fgm
反国	fanguo,fg
反过	fanguo,fg
反过来	fanguolai,fgl
反过来地	fanguolaide,fgld
反过来说	fanguolaishuo,fgls
反函数	fanhanshu,fhs
反汗	fanhan,fh
反核	fanhe,fh
反户	fanhu,fh
反华	fanhua,fh
反话	fanhua,fh
反悔	fanhui,fh
反魂香	fanhunxiang,fhx
反货	fanhuo,fh
反惑	fanhuo,fh
反击	fanji,fj
反击战	fanjizhan,fjz
反基督	fanjidu,fjd
反激	fanji,fj
反籍	fanji,fj
反己	fanji,fj
反间	fanjian,fj
反间谍	fanjiandie,fjd
反间计	fanjianji,fjj
反间之计	fanjianzhiji,fjzj
反监	fanjian,fj
反剪	fanjian,fj
反舰导弹	fanjiandaodan,fjdd
反舰艇	fanjianting,fjt
反舰艇巡航导弹	fanjiantingxunhangdaodan,fjtxhdd
反骄破满	fanjiaopoman,fjpm
反角	fanjiao,fj
反接	fanjie,fj
反诘	fanjie,fj
反诘问	fanjiewen,fjw
反经	fanjing,fj
反经合道	fanjinghedao,fjhd
反经合义	fanjingheyi,fjhy
反经行权	fanjingxingquan,fjxq
反景	fanjing,fj
反具	fanju,fj
反据	fanju,fj
反锯齿	fanjuchi,fjc
反抗	fankang,fk
反抗地	fankangde,fkd
反抗期	fankangqi,fkq
反抗者	fankangzhe,fkz
反科学	fankexue,fkx
反客为主	fankeweizhu,fkwz
反空降	fankongjiang,fkj
反恐	fankong,fk
反恐战争	fankongzhanzheng,fkzz
反口	fankou,fk
反寇	fankou,fk
反哭	fanku,fk
反酷刑折磨公约	fankuxingzhemogongyue,fkxzmgy
反馈	fankui,fk
反劳为逸	fanlaoweiyi,flwy
反老还童	fanlaohuantong,flht
反例	fanli,fl
反戾	fanli,fl
反粒子	fanlizi,flz
反脸	fanlian,fl
反脸无情	fanlianwuqing,flwq
反垄断	fanlongduan,fld
反垄断法	fanlongduanfa,fldf
反虏	fanlu,fl
反录病毒	fanlubingdu,flbd
反路	fanlu,fl
反旅	fanlu,fl
反乱	fanluan,fl
反马	fanma,fm
反码	fanma,fm
反美	fanmei,fm
反美华工禁约运动	fanmeihuagongjinyueyundong,fmhgjyyd
反美是工作赴美是生活	fanmeishigongzuofushenghuo,fmsgzfsh
反袂	fanmei,fm
反密码子	fanmimazi,fmmz
反面	fanmian,fm
