骈白	pianbai,pb
骈傍	pianbang,pb
骈逼	pianbi,pb
骈比	pianbi,pb
骈坒	pianbi,pb
骈臂	pianbi,pb
骈并	pianbing,pb
骈蕃	pianfan,pf
骈驰	pianchi,pc
骈齿	pianchi,pc
骈矗	pianchu,pc
骈词	pianci,pc
骈错	piancuo,pc
骈沓	pianta,pt
骈叠	piandie,pd
骈繁	pianfan,pf
骈跗	pianfu,pf
骈复	pianfu,pf
骈赋	pianfu,pf
骈干	piangan,pg
骈骨	piangu,pg
骈轨	piangui,pg
骈合	pianhe,ph
骈厚	pianhou,ph
骈化	pianhua,ph
骈集	pianji,pj
骈肩	pianjian,pj
骈肩迭迹	pianjiandieji,pjdj
骈肩叠迹	pianjiandieji,pjdj
骈肩接迹	pianjianjieji,pjjj
骈肩累迹	pianjianleiji,pjlj
骈肩累踵	pianjianleizhong,pjlz
骈肩累足	pianjianleizu,pjlz
骈接	pianjie,pj
骈进	pianjin,pj
骈句	pianju,pj
骈聚	pianju,pj
骈牢	pianlao,pl
骈立	pianli,pl
骈丽	pianli,pl
骈俪	pianli,pl
骈怜	pianlian,pl
骈联	pianlian,pl
骈列	pianlie,pl
骈邻	pianlin,pl
骈戮	pianlu,pl
骈罗	pianluo,pl
骈马	pianma,pm
骈蔓	pianman,pm
骈门	pianmen,pm
骈门连室	pianmenlianshi,pmls
骈拇	pianmu,pm
骈拇枝指	pianmuzhi,pmz
骈偶	pianou,po
骈偶文风	pianouwenfeng,powf
骈骈	pian,p
骈然	pianran,pr
骈生	piansheng,ps
骈盛	piansheng,ps
骈尸	pianshi,ps
骈石	pianshi,ps
骈首	pianshou,ps
骈首就逮	pianshoujiudai,psjd
骈首就僇	pianshoujiugui,psjg
骈首就戮	pianshoujiulu,psjl
骈首就死	pianshoujiusi,psjs
骈首就系	pianshoujiuxi,psjx
骈死	piansi,ps
骈四俪六	piansililiu,psll
骈耸	piansong,ps
骈穗	piansui,ps
骈胎	piantai,pt
骈体	pianti,pt
骈体文	piantiwen,ptw
骈田	piantian,pt
骈填	piantian,pt
骈阗	piantian,pt
骈文	pianwen,pw
骈胁	pianxie,px
骈行	pianxing,px
骈兴错出	pianxingcuochu,pxcc
骈衍	pianyan,py
骈演	pianyan,py
骈邑	pianyi,py
骈溢	pianyi,py
骈翼	pianyi,py
骈语	pianyu,py
骈郁	pianyu,py
骈殒	pianyun,py
骈孕	pianyun,py
骈匝	pianza,pz
骈杂	pianza,pz
骈斩	pianzhan,pz
骈臻	pianzhen,pz
骈支	pianzhi,pz
骈枝	pianzhi,pz
骈枝俪叶	pianzhiliye,pzly
骈植	pianzhi,pz
骈祉	pianzhi,pz
骈指	pianzhi,pz
骈趾	pianzhi,pz
骈峙	pianzhi,pz
骈踬	pianzhi,pz
骈诛	pianzhu,pz
骈赘	pianzhui,pz
骈字	pianzi,pz
骈奏	pianzou,pz
骈族	pianzu,pz
骈组	pianzu,pz
